index,ccbaMnm1_item,period
0,고령 장기리 암각화,청동기
1,부여 송국리 유적,청동기
2,서울 암사동 유적,석기
3,연천 전곡리 유적,석기
4,하남 미사리 유적,석기
5,단양 수양개 유적,석기
6,제주 삼양동 유적,청동기
7,공주 장선리 유적,청동기
8,시흥 오이도 유적,석기
33,태안 동문리 마애삼존불입상,백제
34,경주 배동 석조여래삼존입상,신라
35,경주 남산 불곡 마애여래좌상,신라
36,충주 봉황리 마애불상군,신라
37,청주 비중리 석조여래삼존상 및 석조여래입상,신라
38,부여 부소산성,백제
39,서울 풍납동 토성,백제
40,공주 공산성,백제
41,경주 무열왕릉,신라
42,경주 원성왕릉,통일신라
43,부여 청마산성,백제
44,부여 나성,백제
45,부여 청산성,백제
46,서천 건지산성,백제
47,고령 주산성,가야
48,대구 달성,신라
49,창녕 화왕산성,가야
50,창녕 목마산성,가야
51,김해 분산성,가야
52,함안 성산산성,신라
53,부여 석성산성,백제
54,예산 임존성,백제
55,익산 토성,백제
56,양산 북정리 고분군,신라
57,양산 신기리 고분군,신라
58,양산 중부동 고분군,신라
59,김제 벽골제,신라
60,고성 내산리 고분군,가야
61,진도 남도진성,고려
62,강화 삼랑성,고려
63,부여 궁남지,백제
64,오산 독산성과 세마대지,백제
65,부여 증산성,백제
66,경주 동부 사적지대,신라
67,북한산성,백제
68,산청 전 구형왕릉,가야
69,화성 당성,백제
70,경산 병영유적,신라
71,아차산성,백제
72,대구 불로동 고분군,신라
73,서울 방이동 고분군,백제
74,경주 남산 일원,신라
75,청주 신봉동 고분군,백제
76,하남 동사지,고려
77,담양 금성산성,고려
78,서울 양천고성지,백제
79,나주 복암리 고분군,백제
80,하남 이성산성,신라
81,부여 금강사지,백제
82,파주 칠중성,신라
83,영월 정양산성,고구려
84,원주 영원산성,통일신라
85,아차산 일대 보루군,고구려
86,나주 오량동 요지,철기시대
87,연천 호로고루,고구려
88,연천 당포성,고구려
89,연천 은대리성,고구려
90,구미 황상동 고분군,신라
91,경주 황성동 고분,신라
92,경산 임당동과 조영동 고분군,신라
93,경주 진지왕릉,신라
94,경주 문성왕릉,신라
95,양주 대모산성,백제
96,울산 약사동 제방,신라
97,안성 도기동 산성,백제
98,파주 덕진산성,고구려
99,부산 연산동 고분군,신라
100,부안 죽막동 유적,백제
101,대구 구암동 고분군,신라
102,장수 동촌리 고분군,가야
103,의성 금성면 고분군,신라
104,인천 계양산성,백제